time,datetime,idle_time,usr_time,interrupt_time,mem_total,mem_available,mem_percent,label
1.72986E+12,2:20:14 PM,1759149.094,220115.5156,7015.140625,16872415232,5581475840,66.9,normal
1.72986E+12,2:20:15 PM,1759157.031,220115.6094,7015.140625,16872415232,5584257024,66.9,normal
1.72986E+12,2:20:16 PM,1759164.844,220115.7656,7015.140625,16872415232,5587681280,66.9,normal
1.72986E+12,2:20:18 PM,1759172.672,220115.9531,7015.15625,16872415232,5588443136,66.9,normal
1.72986E+12,2:20:19 PM,1759179.719,220116.4375,7015.203125,16872415232,5502332928,67.4,normal
1.72986E+12,2:20:20 PM,1759185.797,220117.7344,7015.234375,16872415232,5476020224,67.5,normal
1.72986E+12,2:20:21 PM,1759193.797,220117.8125,7015.234375,16872415232,5475123200,67.5,normal
1.72986E+12,2:20:22 PM,1759201.563,220118.0469,7015.25,16872415232,5471125504,67.6,anomaly
1.72986E+12,2:20:23 PM,1759209.391,220118.1094,7015.25,16872415232,5487009792,67.5,anomaly
1.72986E+12,2:20:24 PM,1759217.281,220118.2188,7015.265625,16872415232,5486362624,67.5,anomaly
1.72986E+12,2:20:25 PM,1759224.578,220118.8438,7015.28125,16872415232,5498073088,67.4,anomaly
1.72986E+12,2:20:26 PM,1759230.953,220119.7969,7015.375,16872415232,5401497600,68,anomaly
1.72986E+12,2:20:27 PM,1759237.047,220121.2188,7015.4375,16872415232,5271498752,68.8,anomaly
1.72986E+12,2:20:28 PM,1759241.344,220124.1719,7015.578125,16872415232,5157490688,69.4,anomaly
1.72986E+12,2:20:29 PM,1759246.266,220126.6563,7015.640625,16872415232,5068046336,70,anomaly
1.72986E+12,2:20:30 PM,1759252.438,220127.875,7015.671875,16872415232,4897456128,71,anomaly
1.72986E+12,2:20:31 PM,1759258.203,220129.5313,7015.71875,16872415232,4826869760,71.4,anomaly
1.72986E+12,2:20:32 PM,1759263.781,220131.375,7015.75,16872415232,4714573824,72.1,anomaly
1.72986E+12,2:20:33 PM,1759270.344,220132.3281,7015.828125,16872415232,4708851712,72.1,anomaly
1.72986E+12,2:20:34 PM,1759277.734,220132.7031,7015.828125,16872415232,4710006784,72.1,anomaly
1.72986E+12,2:20:35 PM,1759284.484,220133.375,7015.859375,16872415232,4752719872,71.8,anomaly
1.72986E+12,2:20:36 PM,1759292.109,220133.7188,7015.859375,16872415232,4815192064,71.5,anomaly
1.72986E+12,2:20:37 PM,1759299.797,220134.0313,7015.859375,16872415232,4814020608,71.5,anomaly
1.72986E+12,2:20:38 PM,1759306.922,220134.5313,7015.890625,16872415232,4887900160,71,anomaly
1.72986E+12,2:20:39 PM,1759314.375,220135.125,7015.890625,16872415232,4856410112,71.2,anomaly
1.72986E+12,2:20:40 PM,1759321.625,220135.7344,7015.90625,16872415232,4875112448,71.1,anomaly
1.72986E+12,2:20:41 PM,1759328.109,220137.0313,7015.921875,16872415232,4874682368,71.1,anomaly
1.72986E+12,2:20:42 PM,1759335.297,220137.7813,7015.953125,16872415232,4875272192,71.1,anomaly
1.72986E+12,2:20:43 PM,1759341.391,220139.2656,7016,16872415232,4846063616,71.3,anomaly
